,VA(V),VB(V),VC(V),IA(A),IB(A),IC(A)
Pre-2,2.1275879156459365,2.116125696544194,2.129902523962156,5.6441048246507,5.331959866114093,5.619303124286215
Pre-1,2.1552415002439407,2.158386173579694,2.120433858082195,5.8460860254306235,5.360667179461272,5.665337661924469
Post-0,384.5306461143386,86.68886071859717,26.987554411503133,123.67282171510632,105.6947555731919,150.19619636935235
Post-1,309.8027629046709,314.50700601231216,219.1046746731822,495.34300857787326,822.4564039768678,192.40498143383692
Post-2,,,,340.11091552142176,358.3605403493372,409.35232209818633
Post-3,374.16573867739413,,,243.92800379778697,632.4671049483447,456.501693610307
Post-4,760.8161350014318,,,351.55448342165914,587.0868727615884,157.22040986907123
Post-5,,,,278.31523417474557,156.57998066391684,268.6049571052314
Post-6,,,,1179.8160999127272,635.007363077898,280.87249043399936
