timestamp,IA(A),IB(A),IC(A),IN(A),IG(A),VA(V),VB(V),VC(V),VS(V),VDC(V),LSENS1(%),LSENS2(%),LSENS3(%),LSENS4(%),*,*.1,*.2,*.3,FREQ,RMS_VA_T,RMS_VB_T,RMS_VC_T,RMS_IA_T,RMS_IB_T,RMS_IC_T
0.0,-329.5117600329312,-41.860721446243616,369.10973977937783,-0.8,-1.6,-336.58282784479667,-5.656854249492381,339.4112549695428,-233.0,-1.0,0.0,0.05,0.0,0.04,0.0,0.0,0.0,0.0,60.0,,,,,,
0.0005208333333333333,-364.86709909225857,44.12346314604057,315.36962440920024,0.0,-3.2,-369.10973977937783,69.29646455628166,298.3990616607231,-310.0,-1.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,60.0,,,,,,
0.0010416666666666667,-398.80822458921284,133.5017602880202,263.0437226013957,0.0,-0.8,-395.9797974644666,148.49242404917499,246.07315985291856,-384.0,-1.0,0.0,0.04,0.0,0.03,0.0,0.0,0.0,0.0,60.0,,,,,,
0.0015625,-431.335136523794,216.37467504308356,209.30360723121808,0.0,-4.0,-410.1219330881976,217.78888860545666,190.91883092036784,-443.0,-1.0,0.0,0.04,0.0,0.03,0.0,0.0,0.0,0.0,60.0,,,,,,
0.0020833333333333333,-427.09249583667474,268.70057685088807,155.56349186104046,0.8,-2.4,-393.1513703397205,271.5290039756343,120.20815280171308,-470.0,-1.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,60.0,,,,,,
0.0026041666666666665,-384.6660889654819,313.95541084682714,66.7508801440101,0.0,-2.4,-354.9676041556469,321.0264786586926,33.941125496954285,-478.0,-1.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,60.0,,,,,,
0.003125,-329.5117600329312,353.5533905932738,-22.627416997969522,0.0,0.8,-315.36962440920024,359.21024484276614,-43.84062043356595,-476.0,-1.0,0.0,0.03,0.0,0.02,0.0,0.0,0.0,0.0,60.0,,,,,,
0.0036458333333333334,-278.60007178749976,386.080302527855,-107.48023074035522,0.0,0.0,-267.28636328851496,387.49451609022805,-120.20815280171308,-462.0,-1.0,0.0,0.03,0.0,0.02,0.0,0.0,0.0,0.0,60.0,,,,,,
0.004166666666666667,-223.44574285494903,418.60721446243616,-195.16147160748713,0.0,0.0,-209.30360723121808,407.2935059634514,-196.57568516986024,-436.0,-1.0,0.0,0.03,0.0,0.02,0.0,0.0,0.0,0.0,60.0,,,,,,
0.0046875,-173.9482681718907,428.50670939904785,-254.55844122715712,0.0,0.0,-148.49242404917499,403.0508652763321,-254.55844122715712,-388.0,-1.0,0.0,0.04,0.0,0.01,0.0,0.0,0.0,0.0,60.0,,,,,,
0.005208333333333333,-96.16652224137047,397.39401102683973,-301.2274887854693,-0.8,0.0,-63.63961030678928,369.10973977937783,-304.05591591021545,-306.0,-1.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,60.0,,,,,,
0.005729166666666666,1.1313708498984762,336.58282784479667,-339.4112549695428,0.0,-0.8,18.38477631085024,328.0975464705581,-346.4823227814083,-220.0,-1.0,0.0,0.03,0.0,0.02,0.0,0.0,0.0,0.0,60.0,,,,,,
0.00625,82.59007204258876,284.2569260369921,-367.6955262170047,0.0,-0.8,91.92388155425118,284.2569260369921,-377.5950211536164,-135.0,-1.0,0.0,0.04,0.0,0.02,0.0,0.0,0.0,0.0,60.0,,,,,,
0.0067708333333333336,165.46298679765212,229.1025971044414,-397.39401102683973,0.0,-1.6,173.9482681718907,229.1025971044414,-401.636651713959,-41.0,-1.0,0.0,0.03,0.0,0.02,0.0,0.0,0.0,0.0,60.0,,,,,,
0.007291666666666667,234.7594513539338,179.60512242138307,-417.19300090006305,0.0,-1.6,237.58787847867998,171.11984104714452,-405.8792924010783,47.0,-1.0,0.0,0.04,0.0,0.03,0.0,0.0,0.0,0.0,60.0,,,,,,
0.0078125,278.60007178749976,116.53119753954304,-397.39401102683973,-0.8,-1.6,289.9137802864845,91.92388155425118,-380.42344827836257,140.0,-2.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,60.0,,,,,,
0.008333333333333333,318.1980515339464,23.758787847868,-346.4823227814083,0.0,-3.2,336.58282784479667,4.242640687119286,-339.4112549695428,234.0,-1.0,0.0,0.05,0.0,0.04,0.0,0.0,0.0,0.0,60.0,,,,,,
0.008854166666666666,350.7249634685276,-55.43717164502533,-294.1564209736038,0.0,0.8,369.10973977937783,-70.71067811865476,-298.3990616607231,311.0,-1.0,0.0,0.05,0.0,0.04,0.0,0.0,0.0,0.0,60.0,,,,,,
0.009375,381.8376618407357,-135.76450198781714,-244.65894629054546,0.0,0.8,395.9797974644666,-148.49242404917499,-246.07315985291856,385.0,-1.0,0.01,0.04,0.0,0.04,0.0,0.0,0.0,0.0,60.0,,,,,,
0.009895833333333333,408.7077195258245,-212.13203435596427,-197.9898987322333,0.0,-0.8,410.1219330881976,-219.20310216782974,-189.50461735799476,443.0,-1.0,0.01,0.05,0.0,0.05,0.0,0.0,0.0,0.0,60.0,,,,,,
0.010416666666666666,407.2935059634514,-257.38686835190333,-149.9066376115481,0.0,-0.8,393.1513703397205,-272.9432175380074,-118.79393923933999,470.0,-1.0,0.02,0.05,0.01,0.05,0.0,0.0,0.0,0.0,60.0,,,,,,
0.0109375,364.86709909225857,-296.98484809834997,-67.88225099390857,0.0,-0.8,353.5533905932738,-321.0264786586926,-32.526911934581186,478.0,-1.0,0.02,0.05,0.01,0.05,0.0,0.0,0.0,0.0,60.0,,,,,,
