,VA(V),VB(V),VC(V),IA(A),IB(A),IC(A)
Pre-2,1.985888227737432,2.0566835409264375,2.036235225093233,5.423783017407126,5.079549179076397,5.23972480117487
Pre-1,2.0297896554159447,1.9865143874893063,1.985649999900983,5.360395211179146,5.243949753476573,5.290786816022733
Post-0,96.12221163001419,51.69594607017623,23.829699294229954,120.60572685493625,87.27876588764958,280.2936538790549
Post-1,38.65737465659914,19.986874173142464,22.208566517058284,39.04004796534302,20.278709768092877,22.16713114270142
Post-2,14.903195625399457,10.980019581242285,12.545380559049319,15.136167491129902,11.168981887023971,12.735692162594303
Post-3,10.175145806113726,8.450660841640364,6.90877308475482,10.41629246772698,8.667149589759468,6.897132693805835
Post-4,6.104139570121727,6.139562015897179,4.169538169150048,6.185967571776932,6.233519898401807,4.248548229199044
Post-5,2.2349678151811956,1.6727572966085889,1.944426905625073,2.4619064946069122,1.6977054041343687,1.8247670983646418
Post-6,1.3191770819825142,1.167153830112458,0.8406414178044431,1.4126198102379977,1.1737103924556729,0.931644307849999
