,VA(V),VB(V),VC(V),IA(A),IB(A),IC(A)
Pre-2,2.0260458854350816,2.0799900651330785,2.0793990452685494,381.38838195815043,496.8085487297474,290.18810240207705
Pre-1,2.006537328988282,2.0250269011055,2.047034523113277,410.9386438714794,454.22586735885534,289.5394907607278
Post-0,31.479844270731505,14.529908866404007,26.075528918994923,41.67002628531255,30.10997880325602,32.129770614488926
Post-1,31.765529392433105,29.233601752056437,18.59163944044455,32.40170882144541,30.63878060405735,19.21626338308604
Post-2,15.535522111313679,12.697982566799382,7.828761147511222,15.703511568594614,12.9303359267294,8.110271579609593
Post-3,2.933414190725237,2.019370193374604,2.1988680388700237,3.01850954618445,2.308519938081212,2.4844120141518373
Post-4,1.1300807787011453,1.3459900133999885,0.6571541838445544,1.5559355747413564,1.579328465617949,1.0172248860243547
Post-5,0.8124406872573666,0.8826047391558822,0.7594517500910833,1.062315308241667,1.1834354762441321,0.8760078881536841
Post-6,0.6812310366306912,0.699144542470322,0.561297129825245,1.0820372654859733,0.86617913076265,1.1171278310606092
