timestamp,IA(A),IB(A),IC(A),IN(A),IG(A),VA(V),VB(V),VC(V),VS(V),VDC(V),LSENS1(%),LSENS2(%),LSENS3(%),LSENS4(%),*,*.1,*.2,*.3,FREQ,RMS_VA_T,RMS_VB_T,RMS_VC_T,RMS_IA_T,RMS_IB_T,RMS_IC_T
0.0,-161.22034611053286,217.78888860545666,-58.83128419472076,0.0,-2.4,294.1564209736038,-374.7665940288702,82.02438661763952,473.0,-1.0,0.02,0.06,0.01,0.06,0.0,0.0,0.0,0.0,60.0,,,,,,
0.0005208333333333333,-131.23901858822322,214.96046148071045,-87.11555544218267,0.0,-2.4,239.0020920410531,-400.22243815158595,161.22034611053286,452.0,-1.0,0.02,0.06,0.01,0.05,0.0,0.0,0.0,0.0,60.0,,,,,,
0.0010416666666666667,-83.72144289248723,195.16147160748713,-115.39982668964456,0.0,-3.2,181.01933598375618,-411.5361466505707,229.1025971044414,418.0,-1.0,0.02,0.06,0.02,0.05,0.0,0.0,0.0,0.0,60.0,,,,,,
0.0015625,-18.10193359837562,173.9482681718907,-158.39191898578665,0.0,-1.6,108.89444430272833,-391.73715677734737,281.4284989122459,353.0,-1.0,0.02,0.05,0.01,0.06,0.0,0.0,0.0,0.0,60.0,,,,,,
0.0020833333333333333,27.152900397563425,161.22034611053286,-192.33304448274095,0.0,-3.2,19.79898987322333,-350.7249634685276,329.5117600329312,264.0,-1.0,0.02,0.06,0.01,0.06,0.0,0.0,0.0,0.0,60.0,,,,,,
0.0026041666666666665,64.48813844421313,144.2497833620557,-212.13203435596427,0.0,-1.6,-56.568542494923804,-309.7127701597078,364.86709909225857,179.0,-1.0,0.02,0.05,0.01,0.05,0.0,0.0,0.0,0.0,60.0,,,,,,
0.003125,85.98418459228418,117.66256838944152,-207.88939366884497,0.0,-3.2,-131.52186130069785,-260.2152954766495,391.73715677734737,91.0,-1.0,0.02,0.05,0.01,0.05,0.0,0.0,0.0,0.0,60.0,,,,,,
0.0036458333333333334,98.42926394116742,83.72144289248723,-188.09040379562165,0.0,-4.0,-209.30360723121808,-202.2325394193526,410.1219330881976,-3.0,-1.0,0.01,0.05,0.01,0.05,0.0,0.0,0.0,0.0,60.0,,,,,,
0.004166666666666667,127.84490603852781,30.547012947258857,-166.87720036002523,0.0,-5.6,-264.4579361637688,-135.76450198781714,400.22243815158595,-91.0,-1.0,0.01,0.05,0.0,0.05,0.0,0.0,0.0,0.0,60.0,,,,,,
0.0046875,158.39191898578665,-3.394112549695428,-159.80613254815975,-0.8,-3.2,-315.36962440920024,-49.49747468305833,363.45288552988546,-187.0,-1.0,0.0,0.05,0.0,0.04,0.0,0.0,0.0,0.0,60.0,,,,,,
0.005208333333333333,176.7766952966369,-31.67838379715733,-151.32085117392117,-0.8,-4.8,-354.9676041556469,32.526911934581186,322.4406922210657,-274.0,-1.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,60.0,,,,,,
0.005729166666666666,189.50461735799476,-62.22539674441619,-131.23901858822322,-0.8,-3.2,-384.6660889654819,107.48023074035522,275.77164466275354,-349.0,-1.0,0.0,0.04,0.0,0.03,0.0,0.0,0.0,0.0,60.0,,,,,,
0.00625,181.01933598375618,-82.59007204258876,-104.08611819065979,0.0,-4.0,-407.2935059634514,186.67619023324855,219.20310216782974,-419.0,-1.0,0.0,0.04,0.0,0.03,0.0,0.0,0.0,0.0,60.0,,,,,,
0.0067708333333333336,165.46298679765212,-109.74297244015217,-61.09402589451771,0.0,-4.0,-408.7077195258245,247.48737341529164,159.80613254815975,-463.0,-1.0,0.0,0.04,0.0,0.03,0.0,0.0,0.0,0.0,60.0,,,,,,
0.007291666666666667,161.22034611053286,-147.0782104868019,-21.496046148071045,0.0,-5.6,-377.5950211536164,298.3990616607231,79.19595949289332,-478.0,-1.0,0.0,0.04,0.0,0.03,0.0,0.0,0.0,0.0,60.0,,,,,,
0.0078125,162.63455967290594,-172.5340546095176,5.656854249492381,-0.8,-2.4,-336.58282784479667,343.65389565666214,-7.0710678118654755,-480.0,-1.0,0.0,0.03,0.0,0.02,0.0,0.0,0.0,0.0,60.0,,,,,,
0.008333333333333333,145.6639969244288,-189.50461735799476,39.59797974644666,0.0,-3.2,-294.1564209736038,376.1808075912433,-82.02438661763952,-473.0,-1.0,0.0,0.03,0.0,0.02,0.0,0.0,0.0,0.0,60.0,,,,,,
0.008854166666666666,119.92531008923847,-192.33304448274095,67.88225099390857,0.8,-3.2,-239.0020920410531,401.636651713959,-162.63455967290594,-453.0,-1.0,0.0,0.03,0.0,0.02,0.0,0.0,0.0,0.0,60.0,,,,,,
0.009375,82.59007204258876,-179.60512242138307,92.77240969167504,0.0,-3.2,-181.01933598375618,411.5361466505707,-230.5168106668145,-419.0,-1.0,0.0,0.03,0.0,0.02,0.0,0.0,0.0,0.0,60.0,,,,,,
0.009895833333333333,32.809754647055804,-171.11984104714452,132.3703894381217,-0.8,-4.0,-108.89444430272833,391.73715677734737,-282.842712474619,-354.0,-1.0,0.0,0.04,0.0,0.02,0.0,0.0,0.0,0.0,60.0,,,,,,
0.010416666666666666,6.788225099390856,-173.9482681718907,164.04877323527904,-0.8,-2.4,-19.79898987322333,350.7249634685276,-329.5117600329312,-264.0,-1.0,0.0,0.03,0.0,0.02,0.0,0.0,0.0,0.0,60.0,,,,,,
0.0109375,-28.284271247461902,-166.87720036002523,189.50461735799476,-0.8,-3.2,56.568542494923804,309.7127701597078,-366.2813126546316,-179.0,-1.0,0.0,0.03,0.0,0.02,0.0,0.0,0.0,0.0,60.0,,,,,,
