,VA(V),VB(V),VC(V),IA(A),IB(A),IC(A)
Pre-2,2.0082027461049914,2.049238609247455,2.0388058125996666,9.999656882435849,9.334135909390971,9.358586582253086
Pre-1,1.9888176912332012,2.018937924362933,2.0387642880721977,9.960224064806518,9.027322001129285,9.348800269657008
Post-0,17.025692504971992,8.127831854883992,16.331114611284747,13.600910609057799,14.287281318637937,8.618723859531215
Post-1,23.293377209304232,15.067552888548347,11.011206353340906,23.719281960787626,15.476719349406132,10.79700221253547
Post-2,11.645948709976782,12.700667313456876,6.373921299181086,11.659750763647466,12.823664404693341,6.534772327750248
Post-3,8.392370597327636,10.369444985344014,9.479934810520152,8.54765643133885,10.594470999092623,9.542495828737147
Post-4,2.5826078099166025,5.681572916103156,4.910638976749078,2.6701667021320095,5.785539680891481,4.868154191392788
Post-5,1.3531149139519738,1.4043477350919211,1.496496632841931,1.4053633605275708,1.467771737377789,1.6088734286712572
Post-6,0.9254490991502478,0.9253913883348517,0.7410224956047003,1.0900769527301724,0.8849977568114598,0.7956930846732382
