,VA(V),VB(V),VC(V),IA(A),IB(A),IC(A)
Pre-2,2.0695647638833266,2.0833037561817354,2.0743428799650623,10.415908883400498,9.354379678721688,9.571904347273204
Pre-1,2.0507251489723064,2.093358929700161,2.0806037940200377,10.441534899330101,9.492347742869164,9.683669642778204
Post-0,1.7405792322419917,2.7304178558034486,3.1945661259649554,2.6875170466298997,3.332479295094982,3.152457576386828
Post-1,4.093824801825068,8.654781332206953,8.13577243720384,3.985432337483763,8.33223695741557,8.076603963376208
Post-2,6.814645573411425,8.312689538975231,9.569013313543737,7.191762559899384,8.443674187397503,9.650905647156009
Post-3,0.9180452163964625,0.9751646586785435,0.6842008030879657,1.170191997293173,1.3397102001520296,0.7551218261480097
Post-4,0.7727765457505024,0.6763829685126659,0.5630827491764665,1.2070498578061817,0.7499852512336587,0.8940532095632855
Post-5,0.7094143731370396,0.7267064502049495,0.569005835132639,1.071208461593872,0.8643407741590208,0.8476842142673413
Post-6,0.754108200538014,0.6957785262836111,0.5768087789621562,1.4455592224634939,0.8365979366567171,1.1202047254678535
