,VA(V),VB(V),VC(V),IA(A),IB(A),IC(A)
Pre-2,2.1432720672491743,2.115174436815907,2.056246955006117,10.455716265421783,9.518432532003477,9.564401793408916
Pre-1,2.1112881409823516,2.107957292710745,2.0946163731396643,10.505691317020817,9.69223440834192,9.815804545298738
Post-0,18.398799762871292,8.951179563826326,13.877272721050653,9.00467983063803,9.88355887718532,7.190157046764287
Post-1,21.868347110016565,16.937444511413744,18.79998163810913,22.532932979822967,17.144566062118372,18.723343101524197
Post-2,10.058345930754436,10.624800235762457,16.613139670228403,10.529822806791342,10.386493532744677,16.62531589337177
Post-3,9.175026050007643,8.212621197973887,10.473115004162212,9.381389053920367,8.459813794143974,10.839544187926037
Post-4,7.161991844890742,5.200217758647206,5.923513011999618,7.300560395194587,5.2938650979274176,6.313860814149333
Post-5,1.6269489217978113,1.5452733368201879,1.633276661201809,1.8038974773088758,1.639742222171121,1.9055621331239911
Post-6,1.5710003906053123,1.626116378936224,0.7450059316556913,1.7058982129553515,1.54944102294051,0.7577662626094946
