,VA(V),VB(V),VC(V),IA(A),IB(A),IC(A)
Pre-2,1.9841174985128873,2.0213249699585636,1.9684289531372547,5.362366863533395,5.207679536264626,4.9353521294219025
Pre-1,1.9872339458889825,2.0044025182775087,1.9319838478542584,5.3813141451224045,5.161698951641788,5.090387577887893
Post-0,7.940896158182468,10.096729739707122,8.496573085534802,9.204907368002752,15.301902367857439,14.827742263516575
Post-1,9.377900760491345,7.349484748072957,10.079366687886388,10.095689023102617,7.796650983644311,10.327308759918836
Post-2,18.83004175472261,14.245434830560121,10.952514504942103,19.481344734796938,14.562287459758263,10.939005205111753
Post-3,10.227898073240155,11.01955221002076,8.287045678707528,10.584298867329894,11.580997509058989,8.68877086763627
Post-4,5.847801755343843,6.4765417636144145,3.192739189872381,6.250226963772142,6.843499395727891,3.40150390855433
Post-5,1.7960650958431,1.4621943433889564,0.7466100398013148,2.090723858760127,1.4147269017342454,1.0957954384040385
Post-6,1.326201858565042,1.1102593169830473,0.5375520696078803,1.5217172864747708,1.3718019667087284,0.922130179727404
