,VA(V),VB(V),VC(V),IA(A),IB(A),IC(A)
Pre-2,2.1003776272755017,2.1037204131945906,2.0494454229055177,5.414281403353904,5.197414902460847,5.2558670128368625
Pre-1,2.0653528527585254,2.0638954757213233,2.0740091018521123,5.2962610414609985,5.318569434847759,5.3311539299560495
Post-0,46.49484935439741,16.627887311471152,96.71058336604068,67.46269462809154,184.9994565479045,117.03651448753003
Post-1,27.20272377814723,15.70873822916016,47.574035183769574,27.235812977617314,16.068337416175606,48.64882389465336
Post-2,12.697681494175939,19.236923152659422,18.499273345368902,12.934192480390843,19.44390211481463,19.010817176568313
Post-3,10.301334448287601,14.36381406383839,14.709742596178385,10.496357910181093,14.9448010738777,15.237610086772454
Post-4,4.821837923966375,5.332089441883757,4.38532578787337,5.001105921172497,5.568925795924006,4.4453500452600725
Post-5,2.8536115788289282,2.349765924333252,1.1051093685718965,3.031201869808966,2.555264558237197,1.2718525698737089
Post-6,2.5416454575902905,1.7589167666014836,2.4747649485553858,2.831714176015841,2.0747167606400456,2.537543909092885
