,VA(V),VB(V),VC(V),IA(A),IB(A),IC(A)
Pre-2,2.0093970081340258,2.0294615496185724,2.0287757595571847,5.4517364767405905,5.095802014138638,5.257195182001846
Pre-1,2.2349734713701976,2.1045878970013514,1.9407512878243443,5.585434072525146,5.3185136441188146,5.233214868636133
Post-0,909.6027556353569,79.09213091459199,19.07406449561262,161.72280102790216,167.90340927140633,485.42507150617126
Post-1,251.77970263358657,335.4507808836881,285.9577048708874,323.82019899988654,193.5948556864643,235.3742418542383
Post-2,98.70775404575659,105.31922686279394,,260.31838637304037,229.73279794504506,314.0922223315807
Post-3,,,122.05503375267529,385.68307655472614,434.26454030699136,260.1343366144922
Post-4,,,,232.66934397616262,399.2948588700488,1762.0889346196159
Post-5,,,,596.3297692326354,528.184951512747,234.52055394456917
Post-6,439.74810608146794,,,766.377849537752,641.0747900790909,248.3361104510313
