,VA(V),VB(V),VC(V),IA(A),IB(A),IC(A)
Pre-2,2.026292535069368,2.0678303703528984,1.9886658702200393,9.923830109369172,9.090187837358698,9.021357543691078
Pre-1,2.0111497313215603,2.0715340191403437,2.020204994580642,9.749968608744055,9.351512897697726,9.178651201394997
Post-0,8.694741122483254,15.610769466011066,16.229872898899114,11.341029842246272,7.609103453400549,12.609849164207779
Post-1,15.396751376461951,11.503501085120318,17.373137894056423,16.429319304050704,11.486821949856314,17.57410499928527
Post-2,6.125465694157165,8.430306722509718,6.750716403687025,6.116090742397926,8.521948142161389,6.767685606921825
Post-3,6.112699856769475,8.210025991540158,9.463149753381987,6.213174338487281,8.264834425506958,9.447120104182089
Post-4,4.091712941405891,6.080585379384228,6.662672011082449,4.189453150085514,6.38614123696106,6.783692082285252
Post-5,1.442799296058248,1.6699804577051967,1.4039225914740316,1.4865783915193573,1.6203003063728585,1.4580843757420363
Post-6,0.941161331053836,1.0558476443349623,0.906433185349055,0.965999134175671,1.1529811666366165,0.9430452694451905
