,VA(V),VB(V),VC(V),IA(A),IB(A),IC(A)
Pre-2,1.9870995853794533,2.076302439374275,2.005731360556062,7.069443392366435,6.465003582353688,6.793888023011818
Pre-1,1.9894432694490396,2.0736266970445985,2.006614701331548,7.085948740319766,6.42628688046774,6.908063803035542
Post-0,43.28164093164328,50.58125199426888,25.472366533394176,81.33527246033039,128.88194294891815,162.2802601019197
Post-1,278.9903077891222,246.46130103919094,200.05579980018192,279.07766195966445,252.58451767237906,195.41001383992474
Post-2,50.83534364597991,256.37383201127363,,341.6917381630289,340.41914610502874,244.31169425917875
Post-3,,163.53948270295936,90.94902826841444,123.28994687090118,222.99819976042596,172.45602822832794
Post-4,,,,1023.5356946344154,540.5970534985477,389.9709151204111
Post-5,,,,533.7257785068259,255.886171829384,1014.0381213362748
Post-6,374.16573867739413,,,362.6863037264957,181.37428182048404,476.7562179070888
