,VA(V),VB(V),VC(V),IA(A),IB(A),IC(A)
Pre-2,2.0692648738313135,2.064477027099575,2.039574641297777,415.3341582845003,412.40442511126776,315.6752789551128
Pre-1,2.080415210594097,2.1297975749999134,2.065288181853265,427.9784180268014,423.8822913891849,305.304669527602
Post-0,36.52677057444041,30.082595345354797,14.57112116279512,18.667585660137583,26.74904924339482,37.20000472311576
Post-1,20.917473878089186,23.447835111441055,8.125870029473674,21.987901564718474,24.538604314590263,8.637068297581681
Post-2,12.517423531319471,10.599576979382148,11.795788335518937,13.132712831441767,10.72139567299946,12.255068674724958
Post-3,3.52897304419696,2.64840743433874,1.5502304773415572,3.8046878516843816,2.9295646094022283,1.5841178598067651
Post-4,1.0848293519848724,1.2971980950909128,0.7312330583279297,1.341144861067086,1.2350320492015583,1.0092658190358947
Post-5,0.8710870649074451,0.9645022831490274,0.6122906294386418,1.2283900504568375,1.1104023001552203,0.9402665401394937
Post-6,0.688751880834903,0.7486518132129931,0.6136673765536423,0.9947994765840789,0.7905136651457414,1.0367880655497894
