,VA(V),VB(V),VC(V),IA(A),IB(A),IC(A)
Pre-2,1.9968685348818578,2.0011629437051144,1.9937290321349794,6.009968743031295,5.314054449398861,5.182086754762848
Pre-1,2.0099295291250385,2.015025612288995,2.0296981115422565,6.008650162296223,5.456123895947879,5.273999480113708
Post-0,11.3688054232494,9.029635600435077,8.6242018851634,11.098380447998935,9.341827617477023,12.776898102725209
Post-1,8.685962819531223,8.35804857233002,6.622648289273714,8.890458743257364,8.76738052249749,6.733101844609624
Post-2,14.79763065937621,17.831621254268796,17.885430261175607,15.437941759132684,18.552887142822417,18.587829216071203
Post-3,6.484090961107314,7.722902926043856,8.830166844323854,6.820456455110505,7.783706991399518,8.9055157296448
Post-4,7.053316120995532,11.699700698384966,6.775495838254186,7.566233146669628,12.258654793012814,7.137728138772524
Post-5,3.7131658984341813,6.817165930303179,3.455333659982498,3.5644775688839023,7.087150580768981,3.5681069958517537
Post-6,1.1361248460100488,1.5134311745834184,0.7468352512619572,1.4971048198570824,1.845004084677655,0.9220815557305171
